,importance,stddev,p_value,n,p99_high,p99_low
GrLivArea,21220.198234732514,409.0881591576682,1.6566698145494153e-08,5,22062.516408637388,20377.88006082764
OverallQual,19556.723709521997,710.0997377556082,2.0821461445041326e-07,5,21018.828884182178,18094.618534861816
TotalBsmtSF,12509.124033713873,542.8430791903191,4.245034050595856e-07,5,13626.845436655432,11391.402630772314
GarageCars,5589.686134607844,384.36597991381797,2.6661110990593e-06,5,6381.100999752802,4798.271269462886
LotArea,3672.990605053077,117.6633524338235,1.2620391761007829e-07,5,3915.2610739946767,3430.7201361114776
total_bathroom,2798.276684255516,128.54869299031427,5.329276616686824e-07,5,3062.9602198543253,2533.593148656707
OverallCond,2744.8318435325245,100.73712925228362,2.17318650418752e-07,5,2952.2509849980675,2537.4127020669816
BsmtExposure,2653.6978137655224,60.92297475368147,3.331153507591158e-08,5,2779.1390608283486,2528.256566702696
BsmtQual,2498.0170110178133,149.81687450741592,1.545121540552071e-06,5,2806.4920263178424,2189.541995717784
KitchenQual,2272.1666848664886,115.77169158188444,8.059872999049412e-07,5,2510.5421979684143,2033.7911717645632
YearBuilt,2229.569910497713,66.46347497088273,9.464869847198934e-08,5,2366.4191240856076,2092.7206969098183
Neighborhood_Edwards,2213.7560932145493,491.86085332194915,0.0002741403230976238,5,3226.50438844389,1201.0077979852083
OpenPorchSF,2083.1173233035015,83.44556270244746,3.0832639178864114e-07,5,2254.932890248084,1911.3017563589192
LotFrontage,2051.204127337988,188.51326684217355,8.46522020098049e-06,5,2439.3555492962632,1663.0527053797132
Neighborhood_NoRidge,1987.1962394962277,117.6266106692731,1.4662715555489755e-06,5,2229.3910566367927,1745.0014223556627
TotRmsAbvGrd,1966.5794961092638,70.69589276764006,2.0006172097483862e-07,5,2112.1433164389123,1821.0156757796153
YearRemodAdd,1922.3033749430251,48.07214697460694,4.68927349354492e-08,5,2021.2845899914214,1823.3221598946288
BsmtUnfSF,1817.0376564360242,84.40916431730625,5.572311169059942e-07,5,1990.8372924239904,1643.238020448058
ExterQual,1769.4213443182805,92.44953747022609,8.910376325872973e-07,5,1959.7762197578754,1579.0664688786856
BsmtFinType1,1684.1850193289254,154.5739718107983,8.419871822471488e-06,5,2002.4549637266907,1365.91507493116
Fireplaces,1450.0530932965223,119.97283842616528,5.572163409871365e-06,5,1697.0788258168423,1203.0273607762024
total_basement_bathroom,1359.0331851470662,77.64839848827806,1.2732189225365737e-06,5,1518.9123108493493,1199.1540594447831
FireplaceQu,1157.1722651015134,88.54536680412225,4.081968729747206e-06,5,1339.4883991782276,974.8561310247993
WoodDeckSF,1118.4642733404817,97.83842885743366,6.955248437098526e-06,5,1319.9149506287313,917.013596052232
GarageYrBlt,1049.9623260781323,42.17532831116882,3.1173569441221394e-07,5,1136.8019099958142,963.1227421604505
SaleCondition,908.7248890921867,28.292774249274906,1.126140508750539e-07,5,966.9801023191408,850.4696758652326
MoSold,898.6613321004403,92.46032357427546,1.3259088280233455e-05,5,1089.0384162773528,708.2842479235278
Neighborhood_StoneBr,866.3729202108349,76.6113012573982,7.261372550948998e-06,5,1024.1166483805293,708.6291920411404
Neighborhood_Crawfor,817.3692104147867,29.773253154904687,2.108848522781597e-07,5,878.6727501708256,756.0656706587479
GarageFinish,813.8532050880676,76.04590673795673,9.041936083865012e-06,5,970.4327781276494,657.2736320484859
YrSold,669.1185170859856,49.28260309699294,3.505975356834784e-06,5,770.5920780206561,567.644956151315
SaleType,652.3770590243424,11.702258048117844,1.2418779228375242e-08,5,676.4721700878118,628.281947960873
LandContour,613.8822957808673,38.7317303293285,1.8915021358478328e-06,5,693.6314638583577,534.1331277033768
Neighborhood_NridgHt,601.136168816777,73.42310843270481,2.61837174492714e-05,5,752.31536389492,449.9569737386339
Neighborhood_NAmes,597.0021339592743,87.27852063925556,5.3288234469358556e-05,5,776.7098142728531,417.2944536456954
BldgType,587.8172765248862,71.01757878062052,2.507667989877061e-05,5,734.0434528014346,441.5911002483378
Neighborhood_Somerst,580.9101706189725,86.56215000320341,5.74523784057726e-05,5,759.1428338916256,402.67750734631943
HouseStyle,511.27873797013416,97.38830350544835,0.0001506102512300397,5,711.8026009372526,310.75487500301574
LotConfig,465.0448461038653,46.172555616065935,1.1509349781916967e-05,5,560.1147762898829,369.9749159178478
LotShape,428.53344908717554,54.703415017031446,3.118334213015522e-05,5,541.1685366887882,315.8983614855628
Neighborhood_OldTown,385.6565928346299,21.89183565071661,1.240633013568176e-06,5,430.7321850167793,340.58100065248055
LandSlope,338.9339106713105,31.419982812180855,8.761631168647388e-06,5,403.62808955190366,274.23973179071737
MasVnrType,337.5706047482072,29.056004554464263,6.522114119745538e-06,5,397.3973197225101,277.7438897739043
GarageQual,288.7425977197421,49.93368512606791,0.00010317871786785317,5,391.55674555118793,185.92844988829626
ExterCond,245.40379826533643,18.857703361843118,4.151449251502259e-06,5,284.23207012853044,206.57552640214243
Neighborhood_Sawyer,235.62073419499174,32.04359634819122,4.005508961627414e-05,5,301.59894196548527,169.64252642449821
Neighborhood_BrkSide,223.6600312129769,23.584513387094955,1.4619211810054503e-05,5,272.2208702496218,175.09919217633197
Neighborhood_NWAmes,213.75245945311,60.26528409530574,0.000684105456580834,5,337.83951236008954,89.66540654613044
Neighborhood_CollgCr,209.3566601964234,32.97659685344285,7.148674356899468e-05,5,277.2559289026674,141.4573914901794
